song_id,track_loudness,track_tempo,track_tempo_confidence,track_time_signature,track_time_signature_confidence,track_key,track_key_confidence,track_mode,track_mode_confidence,tatum_duration_median,tatum_duration_stdev,segment_duration_median,segment_duration_stdev,segment_loudness_max_median,segment_loudness_max_stdev,segment_loudness_start_median,segment_loudness_start_stdev,segment_loudness_end_median,segment_loudness_end_stdev,sections_duration_median,sections_duration_stdev,sections_loudness_median,sections_loudness_stdev,sections_tempo_median,sections_tempo_stdev,sections_key_median,sections_key_stdev,section_mode_mean
SOLPVAQ12AB017EB35,-10.359000000000002,128.845,0.435,4.0,1.0,7.0,0.682,1.0,0.679,0.295,0.07786204578405162,0.28558,0.13376096927080536,-9.069,6.149715481354729,-19.258,6.5094084288093965,0.0,2.2661687238014943,15.04287,12.673038023185544,-10.0745,7.486547784749214,128.82799999999997,2.3436864243229243,7.0,2.960855732160327,0.9
SOBBMDR12A8C13253B,-12.02,102.45,0.247,4.0,0.913,4.0,0.459,0.0,0.635,0.2959,0.023657592910629768,0.16408,0.14398311120493526,-13.066,6.250723196660888,-25.014,6.127303546574253,0.0,1.4323394026720826,16.88557,12.688491125304287,-12.474,5.248925285657223,101.313,7.17377310170219,4.0,2.497057091387191,0.35294117647058826
SOWONQS12A6D4FC79A,-4.018,170.00099999999995,0.212,4.0,1.0,0.0,0.23,1.0,0.414,0.17636,0.002822126659088985,0.18525999999999998,0.0895700591984218,-2.818,6.528879376496771,-11.588,7.622987845265232,0.0,2.2314511185978363,17.148970000000002,9.204761063505202,-4.192,6.4884879539513225,170.2595,0.7346868015886555,8.0,4.342481186734475,0.5
SOASKHY12A8C134454,-6.99,129.878,0.82,4.0,1.0,10.0,0.539,1.0,0.5670000000000001,0.23096,0.002574319631661604,0.22118000000000002,0.0997207889969461,-5.3420000000000005,6.037308070093499,-14.5075,7.56338279161695,0.0,1.7818829971085686,14.779905,11.735143835006106,-7.021,6.164740257867293,129.889,0.20334988134351925,6.0,2.137330535547045,0.75
SOTXQVF12A8C13ABBA,-5.461,90.229,0.039,4.0,0.862,7.0,0.599,1.0,0.384,0.33263000000000004,0.015117185764331876,0.19147,0.096389592971596,-5.255,6.526165720012554,-15.717,5.85090174145509,0.0,1.1166421749880826,18.21807,21.523891801559405,-6.7135,5.720759106097724,90.1165,3.621976167240837,1.0,3.604500553811061,0.6666666666666666
SORSAJY12A6D4F7457,-7.233,125.348,0.89,4.0,0.9620000000000001,1.0,0.6509999999999999,1.0,0.6509999999999999,0.23959,0.0017329179694634091,0.24496500000000002,0.17133275729396172,-6.2005,5.5618185521311725,-12.322000000000001,6.254597778857392,0.0,2.23606797749979,27.058955,12.791247679631793,-6.988,4.850276126160241,125.255,0.4559727435463027,1.0,4.166190448976482,0.75
SOVPBWS12A8C141EF1,-7.077000000000001,90.984,0.609,4.0,1.0,7.0,0.45899999999999996,1.0,0.446,0.402835,0.11010145777575328,0.195555,0.09901269063577246,-8.3735,6.344640979630857,-17.859,7.030803404776362,0.0,1.876833741269564,16.57779,16.004628637178822,-6.9315,6.660324396504022,90.7125,1.7206915308806654,5.5,2.6012817353502227,0.8
SOQJLDY12AAF3B456D,-4.671,144.024,0.6779999999999999,4.0,0.976,2.0,0.402,1.0,0.503,0.208335,0.001551833791643659,0.244925,0.2152675325963876,-3.56,4.402986245490986,-9.7185,5.639345200278503,0.0,2.3942606534028665,14.110445,15.01928918220274,-4.5325,9.376285026597687,144.0405,45.52146645521576,2.0,3.7133393177689658,0.9
SOIBCIC12A58A7B55B,-9.905,93.54799999999999,0.621,4.0,1.0,0.0,0.5670000000000001,1.0,0.621,0.32088,0.002870921538286124,0.3132,0.14861682705414386,-8.269,5.2798966151359465,-17.005,6.633588597588247,0.0,2.272662057235711,18.568975,7.789486964342573,-10.2115,5.7462990118278165,93.36399999999999,27.005614246126786,0.0,2.8123105996832765,0.75
SOJONCB12A8C13B8F5,-5.069,90.70200000000001,0.455,4.0,0.9740000000000001,10.0,0.109,0.0,0.31,0.33036,0.009512680941162371,0.18023,0.09959455933020404,-4.492,3.7928583812438035,-12.823,4.500402285729517,0.0,0.8425716562071881,18.87559,26.652275790321628,-6.0665,2.9586549912321414,90.85700000000001,0.4117366530059874,3.0,4.138236339311712,0.75
SOVYNVS12AC3DF64AB,-10.515999999999998,90.90700000000001,0.41100000000000003,4.0,1.0,8.0,0.565,1.0,0.504,0.422955,0.11067486199093916,0.20661999999999997,0.2301172774117484,-8.882,4.101767789126065,-23.252,6.242563222214995,0.0,2.253347298566039,28.79205,21.237243650859448,-10.470999999999998,1.1375674485497551,90.579,0.8570843015713241,8.0,3.0331501776206204,1.0
SOKUZGZ12A8C136F88,-6.99,145.77700000000004,0.406,4.0,0.9279999999999999,9.0,0.8809999999999999,1.0,0.708,0.20636,0.003962510920900824,0.21338000000000001,0.3690257167052854,-6.526,4.28824843182615,-12.507,5.63365209839373,0.0,2.1636553379238563,22.672495,14.776317851594973,-7.692,3.0984794859737255,145.445,2.2110740764227166,9.0,2.4748737341529163,1.0
SOUGUPS12A6D4FA448,-3.9210000000000003,146.011,0.745,4.0,1.0,10.0,0.098,0.0,0.264,0.20546999999999999,0.0018007110168146976,0.2088,0.1135789914283936,-3.307,6.44461098489414,-12.592,6.981171069428911,0.0,1.7859855319457192,20.60515,11.507352973897405,-3.6830000000000003,6.752577396143573,146.024,0.25712816047468146,8.0,2.8730724763822884,0.4545454545454545
SOXLOQG12AF72A2D55,-6.204,97.93799999999999,0.384,4.0,1.0,0.0,0.841,1.0,0.5820000000000001,0.30637,0.002477428217989959,0.20901999999999998,0.11244479801571973,-5.122000000000001,3.9376678743652263,-12.542,5.442306899435068,0.0,1.4613779533550708,20.278025,9.254037507645872,-6.22,1.3354712401745434,97.978,0.4531715520148571,1.5,3.747591819348053,0.8
SORNOFK12AF72A0F50,-7.211,89.45200000000001,0.276,4.0,1.0,1.0,0.7659999999999999,0.0,0.649,0.33576999999999996,0.010479622031832923,0.19039,0.10125284422296636,-6.022,6.177881173564676,-13.495999999999999,7.291991554985657,0.0,0.8697692333501519,22.40375,22.260906485748787,-7.221,5.914855725205814,89.709,29.72025837193285,1.0,1.9860625479688307,0.4444444444444444
SOEKWEA12A6D4F5DC3,-20.939,77.475,0.079,4.0,1.0,9.0,0.7,0.0,0.613,0.490655,0.13133946258239654,0.20463,0.2101295190462429,-24.092,7.492663856375581,-33.11,7.526716998623549,0.0,2.005578811394627,18.206570000000006,10.422159631742598,-24.815,7.417909584991658,76.055,1.8231694319996103,9.0,0.4409585518440984,0.2222222222222222
SOTHMIK12A8C136FA1,-10.368,128.654,0.493,4.0,0.992,9.0,0.46399999999999997,0.0,0.48700000000000004,0.23318000000000005,0.005507924286645194,0.242925,0.13543013960201533,-9.822000000000001,6.611674917379576,-16.863,7.633432325679916,0.0,2.232745485816091,15.78855,10.213038168658548,-11.524000000000001,4.377899824428065,128.80100000000002,2.965687907322071,7.0,3.4005347173108467,0.5454545454545454
SOMGIYR12AB0187973,-8.015,160.118,0.198,4.0,0.9690000000000001,4.0,0.0,1.0,0.095,0.18745,0.0014147193949280135,0.3078,0.31784786103160106,-8.231,5.4907653612258365,-17.537,6.522772043793139,0.0,2.9668090586048925,28.134505,11.306886308392189,-8.4635,2.1293690536557217,160.2835,0.38167599697474097,3.0,3.6193922141707713,0.8333333333333334
SOQIVUD12AB01821D2,-10.345,119.648,0.813,4.0,1.0,0.0,0.258,0.0,0.56,0.25068,0.0018071135836098824,0.25079,0.24823645767945315,-13.149000000000001,6.222638491724267,-23.613000000000003,7.032712986723684,0.0,1.9518001458970664,18.75097,7.684290712268409,-14.024,4.7419894647007945,119.74,0.28480402618876915,3.0,4.0414518843273814,0.5
SOZZHXI12A8C13BF7D,-9.197000000000001,91.935,0.105,4.0,1.0,5.0,0.0,1.0,0.10099999999999999,0.32456999999999997,0.0050063275366562365,0.32508000000000004,0.16106506380762095,-7.329,9.667203544057822,-13.668,11.313665634262538,0.0,2.924221072971476,14.88356,10.064565952444603,-8.7675,9.640763662698095,92.507,1.3191923868683535,6.0,3.1167748898959178,1.0
SOTFATN12A6D4FA74D,-13.296,101.06200000000001,0.055999999999999994,3.0,1.0,8.0,0.106,1.0,0.431,0.245085,0.1362843662572499,0.28966,0.309395778488692,-15.507,6.704968115859766,-21.194000000000006,6.720596405296109,0.0,2.5468581598680533,26.939140000000002,11.852370001868826,-12.825,2.1115070315877342,103.022,42.94085296111126,3.0,2.773886162848873,0.7777777777777778
SOVWADY12AB0189C63,-4.667,96.021,0.16,4.0,1.0,10.0,0.315,0.0,0.373,0.31268,0.004893828036123957,0.22653,0.16494355586928214,-3.141,3.990322900157498,-10.677,7.225266297764003,0.0,2.1721458427679896,20.00011,13.46804511746766,-5.092,2.8847148376303062,95.98,0.5346778884940376,6.0,4.034572812303401,0.5555555555555556
SORVYTS12A6D4F77D5,-3.398,108.03299999999999,0.8809999999999999,4.0,1.0,7.0,0.5379999999999999,1.0,0.652,0.27779,0.0007678704646811673,0.23855,0.11081954703694748,-2.804,3.7553997438703055,-10.379000000000001,4.9775698004147335,0.0,1.8265876966439487,18.60967,8.792818482210789,-3.3585000000000003,2.3090146285688737,108.022,0.06959711374588883,6.0,2.3812454032143915,0.9285714285714286
SOCNMUH12A6D4F6E6D,-10.168,160.414,0.5489999999999999,4.0,1.0,10.0,0.603,0.0,0.695,0.132,0.0625050403071039,0.21628000000000008,0.18475500940719367,-9.1185,4.384411422394426,-16.027,5.969200251174313,0.0,1.835274533988829,20.56985,21.02317201344303,-11.489,18.56346272475405,160.441,0.4977143950576745,8.0,3.6709931185158164,0.2857142857142857
SOAUWYT12A81C206F1,-11.985,116.118,0.157,4.0,0.898,5.0,0.09,1.0,0.319,0.25871,0.006445716778313014,0.25018,0.2273962708437333,-14.033,7.420492486254249,-21.0425,8.858729919286091,0.0,1.8025253043783287,24.328689999999998,26.23707907951427,-15.814,10.159452503143877,116.141,1.0957006309787678,3.0,2.4531982835029496,0.5454545454545454
SORNHEI12AB01859E3,-6.141,114.84899999999999,0.306,4.0,0.997,4.0,0.604,1.0,0.631,0.26175,0.04073401484986888,0.247775,0.2749697104178941,-5.659,4.419952078637951,-13.008500000000002,5.037748422986988,0.0,2.0436081098705148,19.5505,11.870404159917545,-6.189500000000002,2.349586734347601,114.8665,8.513203288617824,4.0,1.9119507199599983,0.9
SOTVFEF12AF729E6CE,-7.075,84.969,0.474,4.0,1.0,5.0,0.6,0.0,0.405,0.35302,0.012632030196303507,0.1888,0.10135852009837536,-9.032,5.630987189399159,-19.277,7.020688543083178,0.0,1.0814735122272263,20.47658,32.741027734956056,-6.98,3.4262260926703654,84.97399999999998,32.126012365000896,5.0,2.138089935299395,0.2857142857142857
SOIZAZL12A6701C53B,-10.158,109.99799999999999,0.885,4.0,1.0,7.0,0.521,1.0,0.523,0.2727,0.0005321257495389523,0.261155,0.1078782385093672,-12.204,7.504345498945,-27.2005,7.495320899148236,0.0,1.6916516233038028,10.355960000000001,9.118384901221217,-9.424,7.006312871091257,110.006,0.08714241217685087,2.0,3.4517076519145875,0.9523809523809524
SOBXHDL12A81C204C0,-7.858,103.992,0.4,4.0,1.0,10.0,0.252,0.0,0.434,0.28858,0.00414837804751802,0.22263000000000002,0.13837730697525286,-7.202000000000001,3.0791558280666558,-13.287,4.859259366840804,0.0,1.6737850579550122,19.00158,12.872779739662251,-8.065,1.7433067936892457,103.97399999999999,28.918391614626888,8.0,4.030333701269629,0.5384615384615384
SOZKNSB12A8C140F11,-6.3229999999999995,91.031,0.8079999999999999,4.0,1.0,9.0,0.369,1.0,0.456,0.32979,0.004748374833721,0.17220000000000002,0.12119676059235215,-6.195,4.605585796650763,-15.072000000000001,6.421709256549213,0.0,2.118673654639346,15.574405,7.511310658302881,-6.8715,3.2535477046858663,90.9165,0.370452711032207,9.0,2.9078437983419185,0.6
SOLXHAI12A6D4FD6F3,-11.139000000000001,150.447,0.11,4.0,1.0,2.0,0.84,1.0,0.745,0.20027,0.003223685398542664,0.2078,0.18935738643980388,-11.004000000000001,5.125730099487352,-17.358,5.257572782951792,0.0,2.1693045781865616,12.90996,5.263121499744648,-10.552,3.084358134614737,149.91299999999995,2.403908774774098,2.0,0.0,1.0
SOBVTQI12A6D4F8F75,-3.989,133.329,0.302,4.0,0.9890000000000001,2.0,0.626,1.0,0.807,0.27098,0.07488475089062742,0.18558,0.14916946262712755,-3.052,3.812627699311707,-10.076,4.840633305925956,0.0,1.5113295602469083,28.347075,17.53013560537282,-3.8995,4.886415409638803,133.41899999999998,0.5344652987384285,3.0,2.846049894151541,0.7
SODJTHN12AF72A8FCD,-7.845,119.265,0.228,4.0,0.879,4.0,0.633,1.0,0.626,0.25256999999999996,0.07881924167501886,0.21995,0.2561637176011133,-8.28,6.74995566411921,-13.902000000000001,7.0904143327669775,0.0,1.6571045299983225,20.252155,23.34525822714047,-10.6945,8.304625647885349,118.2005,25.796614464710466,4.0,1.5374122295716148,0.8333333333333334
SORJNVW12A8C13BF90,-12.962,117.001,0.753,4.0,0.8740000000000001,8.0,0.41100000000000003,1.0,0.534,0.25655500000000003,0.004838991367060396,0.25645999999999997,0.1984353658605183,-15.196,11.78681784683362,-22.748,11.827815369130649,0.0,1.967916651686345,29.3938,11.471088295606238,-19.636,13.015623945644881,116.994,1.6374424417365026,5.0,2.488864087178013,0.4444444444444444
SOUOAUF12A58A7EC58,-4.666,82.012,0.222,4.0,0.8909999999999999,9.0,0.373,1.0,0.3,0.375375,0.12186863031208472,0.190655,0.1083668319709718,-4.8279999999999985,3.152582359170186,-13.8675,5.6961873743819105,0.0,1.2360930549681688,12.27837,35.04704596378274,-5.5175,2.931649748861552,82.488,0.3554204083429478,10.0,3.7859388972001824,0.75
SOUKXIN12A8C133C7F,-7.34,90.565,0.087,4.0,1.0,4.0,0.42200000000000004,0.0,0.513,0.33125,0.0041259508579759895,0.212515,0.1890291741261416,-6.5585,3.519756814887765,-14.209000000000001,5.782671203218671,0.0,1.9709665128054388,22.857015,8.833800026607651,-6.988,1.6990522194577906,90.602,0.07359227012548428,4.0,1.699673171197595,0.3
SOVZRXZ12A58A77A88,-7.82,127.962,0.828,4.0,1.0,6.0,0.847,1.0,0.708,0.23449,0.0026997595914500373,0.23831999999999998,0.2622275178707356,-7.632999999999999,5.246108927660504,-15.569,7.697092885681673,0.0,2.096569673443837,14.58588,8.328462923949875,-8.577,7.068895489105596,127.897,1.6004320450332257,6.0,2.1926450482675732,1.0
SOOQPPL12AB017D2E3,-9.228,171.896,0.061,4.0,1.0,2.0,0.89,1.0,0.825,0.17429,0.0023127928320095005,0.20376,0.2311431464286192,-9.6405,4.325837220546472,-17.177500000000002,4.799624125531336,0.0,1.769189645445845,14.36999,5.357752316958704,-8.83,2.6404488736852025,172.16099999999997,0.9336774895784159,2.0,2.7136021011998728,0.9090909090909092
SORWLTW12A670208FA,-5.428,162.15200000000004,0.4970000000000001,4.0,0.993,2.0,1.0,1.0,0.836,0.18499000000000002,0.0008702011445600737,0.19175,0.12701205339332414,-3.962,4.758323140482078,-12.347000000000001,7.983339322505075,0.0,1.9993008103347727,22.915429999999997,6.425126263898977,-4.637,4.947125472882656,162.167,0.1942479801124765,2.0,0.0,1.0
SOHKXZN12AB0187281,-8.405,127.96799999999999,0.8220000000000001,4.0,1.0,8.0,0.075,0.0,0.13699999999999998,0.2344,0.0007461314491122682,0.23746,0.25190607006883103,-7.27,4.683288207618439,-14.542,6.545903691119647,0.0,2.253347298566039,18.757260000000002,13.881604225634373,-9.727,13.405677519245346,128.003,42.67232925444778,8.0,3.2829526005987018,0.4444444444444444
SOWUJBA12AB017C945,-6.481,116.975,0.981,4.0,0.996,7.0,0.08800000000000001,1.0,0.358,0.25640999999999997,0.0006289783245885723,0.13727999999999999,0.1207191636188652,-5.7479999999999976,5.015398269940458,-19.207,7.201222792583642,0.0,1.5827884276429949,34.612809999999996,19.871732011276727,-6.254,8.895895807297078,116.9775,41.358784296688405,5.5,3.845219666769935,0.75
SOFTKSZ12A6D4F5DC5,-14.245,122.84899999999999,0.875,4.0,1.0,4.0,0.5539999999999999,0.0,0.414,0.24431999999999998,0.003052231123131627,0.21506,0.21834538286237007,-13.539000000000001,3.905278429384056,-23.141,4.233743793490153,0.0,2.1306624726853047,42.2022,27.921379919339447,-14.1795,5.6945701037625875,122.7115,4.1513386595972435,7.0,2.0615528128088303,0.5
SOWEHOM12A6BD4E09E,-10.832,114.009,0.62,3.0,1.0,10.0,0.6940000000000001,1.0,0.588,0.26337,0.0042970035690191866,0.28415,0.3413819091374655,-11.345,5.6571834183541965,-20.319000000000006,6.791838130257692,0.0,2.6516504294495533,21.10705,14.498159704421933,-10.831,1.847163810509816,114.04799999999999,1.2939385427372343,10.0,3.6709931185158164,0.8571428571428571
SOSTLBB12A8C13E3DB,-8.582,129.986,0.8370000000000001,4.0,0.7909999999999999,5.0,0.22699999999999998,1.0,0.261,0.230765,0.0019745296738780107,0.22901999999999997,0.1568267234588333,-9.702,6.3060468343938485,-17.528,7.1577719068587005,0.0,1.90788900224668,17.81779,16.406149412103833,-10.637,5.711611406696985,130.026,0.17120439376500882,5.0,3.551212625443753,0.6666666666666666
SOJNNUA12A8AE48C7A,-6.227,133.858,0.855,4.0,0.9940000000000001,5.0,0.609,0.0,0.503,0.2242,0.001764165424301273,0.22912,0.10853717575653153,-5.426,5.873544014535482,-14.373,7.667745786998348,0.0,1.7142857142857144,19.28641,13.433028740061104,-6.265,5.348499454076482,133.68200000000002,0.595746590422468,5.0,2.911075226502911,0.3076923076923077
SOGGLLR12A8C13C471,-7.4670000000000005,86.005,0.191,4.0,0.982,4.0,0.634,0.0,0.507,0.34864,0.0045970185905337075,0.18,0.11763683692721255,-6.1865000000000006,4.6713155237951645,-14.72,5.018727101554561,0.0,1.1557365710668623,22.96802000000001,28.68196561735664,-7.117000000000001,6.0098037603648296,85.995,1.1930933783756434,4.0,4.898979485566356,0.2857142857142857
SOXZQDE12A8C135833,-6.932,95.84700000000001,0.496,4.0,0.977,7.0,0.789,1.0,0.665,0.313205,0.012716772374174741,0.21823,0.22266130365086093,-6.178999999999999,5.5732094724083865,-17.8,8.055664037541847,0.0,0.28688730766653103,18.67447,7.945091589615426,-7.03,1.4992347214495805,96.07799999999999,1.3174925152644241,7.0,3.570714214271425,0.6666666666666666
SOKLBHE12A8C13B8FA,-6.386,116.20700000000001,0.7020000000000001,4.0,0.815,2.0,0.546,0.0,0.6759999999999999,0.258045,0.0044364458422257854,0.195575,0.12585358124572374,-6.0725,5.812207989761668,-13.9435,6.333501762727614,0.0,1.2071429774869482,28.419829999999997,14.967779095515287,-5.888,4.9885263856173,116.204,0.6687230576088863,2.0,2.891558595482912,0.3333333333333333
